Reference,Age_description,Age_Ma,Age_old,Age_young,CO2_ppm,type,CO2_low,CO2_high,CO2_range,Distribution,reported_CO2_low,reported_CO2_high,Notes
"Martinez-Boti et al., 2015",,3.22,,,376,median,333,420,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),333,420,ODP 999
"Martinez-Boti et al., 2015",,3.24,,,423,median,366,481,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),366,481,ODP 999
"Martinez-Boti et al., 2015",,3.24,,,354,median,314,396,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),314,396,ODP 999
"Martinez-Boti et al., 2015",,3.25,,,316,median,280,353,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),280,353,ODP 999
"Martinez-Boti et al., 2015",,3.26,,,348,median,307,390,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),307,390,ODP 999
"Martinez-Boti et al., 2015",,3.27,,,365,median,319,412,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),319,412,ODP 999
"Martinez-Boti et al., 2015",,3.28,,,313,median,278,350,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),278,350,ODP 999
"Martinez-Boti et al., 2015",,2.35,,,369,median,326,413,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),326,413,ODP 662
"Martinez-Boti et al., 2015",,2.42,,,442,median,385,499,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),385,499,ODP 662
"Martinez-Boti et al., 2015",,2.50,,,423,median,373,473,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),373,473,ODP 662
"Martinez-Boti et al., 2015",,2.63,,,402,median,354,450,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),354,450,ODP 662
"Martinez-Boti et al., 2015",,2.75,,,376,median,330,424,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),330,424,ODP 662
"Martinez-Boti et al., 2015",,2.83,,,352,median,311,395,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),311,395,ODP 662
"Martinez-Boti et al., 2015",,3.16,,,525,median,461,592,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),461,592,ODP 662
"Martinez-Boti et al., 2015",,3.24,,,441,median,385,499,"16 and 84 percentiles; reported uncertainties are 2.5 and 97.5  percentiles as determined through a Monte Carlo style error propagation  of all input factors; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",moderate right skew (mode < mean),385,499,ODP 662
"Stap et al., 2016",,0.54,,,162,mean,92,233,"16 and 84 percentiles; reported uncertainties represent +/- 1 standard deviation of d11B measurements; the authors state that propagating the additional uncertainties associated with salinity, SST, and carbonate ion concentration add +/- 70 ppm of uncertainty to the CO2 estimates; this additional uncertainty has been added here following quadrature",moderate right skew (mode < mean),152,173,ODP 1264
"Stap et al., 2016",,0.54,,,281,mean,209,354,"16 and 84 percentiles; reported uncertainties represent +/- 1 standard deviation of d11B measurements; the authors state that propagating the additional uncertainties associated with salinity, SST, and carbonate ion concentration add +/- 70 ppm of uncertainty to the CO2 estimates; this additional uncertainty has been added here following quadrature",moderate right skew (mode < mean),263,302,ODP 1264
"Stap et al., 2016",,0.60,,,163,mean,92,234,"16 and 84 percentiles; reported uncertainties represent +/- 1 standard deviation of d11B measurements; the authors state that propagating the additional uncertainties associated with salinity, SST, and carbonate ion concentration add +/- 70 ppm of uncertainty to the CO2 estimates; this additional uncertainty has been added here following quadrature",moderate right skew (mode < mean),153,173,ODP 1264
"Stap et al., 2016",,0.62,,,169,mean,98,240,"16 and 84 percentiles; reported uncertainties represent +/- 1 standard deviation of d11B measurements; the authors state that propagating the additional uncertainties associated with salinity, SST, and carbonate ion concentration add +/- 70 ppm of uncertainty to the CO2 estimates; this additional uncertainty has been added here following quadrature",moderate right skew (mode < mean),159,180,ODP 1264
"Stap et al., 2016",,0.76,,,175,mean,102,249,"16 and 84 percentiles; reported uncertainties represent +/- 1 standard deviation of d11B measurements; the authors state that propagating the additional uncertainties associated with salinity, SST, and carbonate ion concentration add +/- 70 ppm of uncertainty to the CO2 estimates; this additional uncertainty has been added here following quadrature",moderate right skew (mode < mean),155,198,ODP 1264
"Stap et al., 2016",,0.82,,,152,mean,82,223,"16 and 84 percentiles; reported uncertainties represent +/- 1 standard deviation of d11B measurements; the authors state that propagating the additional uncertainties associated with salinity, SST, and carbonate ion concentration add +/- 70 ppm of uncertainty to the CO2 estimates; this additional uncertainty has been added here following quadrature",moderate right skew (mode < mean),143,162,ODP 1264
"Stap et al., 2016",,0.86,,,168,mean,98,239,"16 and 84 percentiles; reported uncertainties represent +/- 1 standard deviation of d11B measurements; the authors state that propagating the additional uncertainties associated with salinity, SST, and carbonate ion concentration add +/- 70 ppm of uncertainty to the CO2 estimates; this additional uncertainty has been added here following quadrature",moderate right skew (mode < mean),158,179,ODP 1264
"Stap et al., 2016",,0.94,,,183,mean,112,254,"16 and 84 percentiles; reported uncertainties represent +/- 1 standard deviation of d11B measurements; the authors state that propagating the additional uncertainties associated with salinity, SST, and carbonate ion concentration add +/- 70 ppm of uncertainty to the CO2 estimates; this additional uncertainty has been added here following quadrature",moderate right skew (mode < mean),172,195,ODP 1264
"Stap et al., 2016",,1.82,,,250,mean,178,322,"16 and 84 percentiles; reported uncertainties represent +/- 1 standard deviation of d11B measurements; the authors state that propagating the additional uncertainties associated with salinity, SST, and carbonate ion concentration add +/- 70 ppm of uncertainty to the CO2 estimates; this additional uncertainty has been added here following quadrature",moderate right skew (mode < mean),233,267,ODP 1264
"Stap et al., 2016",,2.74,,,274,mean,192,362,"16 and 84 percentiles; reported uncertainties represent +/- 1 standard deviation of d11B measurements; the authors state that propagating the additional uncertainties associated with salinity, SST, and carbonate ion concentration add +/- 70 ppm of uncertainty to the CO2 estimates; this additional uncertainty has been added here following quadrature",moderate right skew (mode < mean),231,327,ODP 1264
"Stap et al., 2016",,2.89,,,481,mean,400,566,"16 and 84 percentiles; reported uncertainties represent +/- 1 standard deviation of d11B measurements; the authors state that propagating the additional uncertainties associated with salinity, SST, and carbonate ion concentration add +/- 70 ppm of uncertainty to the CO2 estimates; this additional uncertainty has been added here following quadrature",moderate right skew (mode < mean),439,529,ODP 1264
"Stap et al., 2016",,3.21,,,423,mean,346,502,"16 and 84 percentiles; reported uncertainties represent +/- 1 standard deviation of d11B measurements; the authors state that propagating the additional uncertainties associated with salinity, SST, and carbonate ion concentration add +/- 70 ppm of uncertainty to the CO2 estimates; this additional uncertainty has been added here following quadrature",moderate right skew (mode < mean),391,459,ODP 1264
"Stap et al., 2016",,3.66,,,357,mean,281,434,"16 and 84 percentiles; reported uncertainties represent +/- 1 standard deviation of d11B measurements; the authors state that propagating the additional uncertainties associated with salinity, SST, and carbonate ion concentration add +/- 70 ppm of uncertainty to the CO2 estimates; this additional uncertainty has been added here following quadrature",moderate right skew (mode < mean),328,389,ODP 1264
"Stap et al., 2016",,3.89,,,507,mean,426,591,"16 and 84 percentiles; reported uncertainties represent +/- 1 standard deviation of d11B measurements; the authors state that propagating the additional uncertainties associated with salinity, SST, and carbonate ion concentration add +/- 70 ppm of uncertainty to the CO2 estimates; this additional uncertainty has been added here following quadrature",moderate right skew (mode < mean),466,553,ODP 1264
"Stap et al., 2016",,4.10,,,380,mean,305,456,"16 and 84 percentiles; reported uncertainties represent +/- 1 standard deviation of d11B measurements; the authors state that propagating the additional uncertainties associated with salinity, SST, and carbonate ion concentration add +/- 70 ppm of uncertainty to the CO2 estimates; this additional uncertainty has been added here following quadrature",moderate right skew (mode < mean),352,410,ODP 1264
"Stap et al., 2016",,5.19,,,433,mean,347,523,"16 and 84 percentiles; reported uncertainties represent +/- 1 standard deviation of d11B measurements; the authors state that propagating the additional uncertainties associated with salinity, SST, and carbonate ion concentration add +/- 70 ppm of uncertainty to the CO2 estimates; this additional uncertainty has been added here following quadrature",moderate right skew (mode < mean),384,490,ODP 1264
"Stap et al., 2016",,6.35,,,332,mean,257,408,"16 and 84 percentiles; reported uncertainties represent +/- 1 standard deviation of d11B measurements; the authors state that propagating the additional uncertainties associated with salinity, SST, and carbonate ion concentration add +/- 70 ppm of uncertainty to the CO2 estimates; this additional uncertainty has been added here following quadrature",moderate right skew (mode < mean),306,361,ODP 1264
"Anagnostou et al., 2016",,53.2,53.6,52.8,1400,median,1165,1635,"16 and 84 percentiles; reported uncertainty is 2.5 and 07.5 percentile range; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",gaussian,930,1870,Tanzania Drilling Project
"Anagnostou et al., 2016",,45.6,45.9,45.5,1100,median,925,1275,"16 and 84 percentiles; reported uncertainty is 2.5 and 07.5 percentile range; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",gaussian,750,1450,Tanzania Drilling Project
"Anagnostou et al., 2016",,44.4,44.5,44.0,920,median,760,1080,"16 and 84 percentiles; reported uncertainty is 2.5 and 07.5 percentile range; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",gaussian,600,1240,Tanzania Drilling Project
"Anagnostou et al., 2016",,36.9,37.5,36.3,770,median,620,920,"16 and 84 percentiles; reported uncertainty is 2.5 and 07.5 percentile range; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",gaussian,470,1070,Tanzania Drilling Project
"Anagnostou et al., 2016",,40.3,40.6,40.0,650,median,540,760,"16 and 84 percentiles; reported uncertainty is 2.5 and 07.5 percentile range; because distributions are close to gaussian, the 16 and 84 percentiles are calculated here by halving the differentials to the mean",gaussian,430,870,Tanzania Drilling Project
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
