Reference,Age_description,Age_Ma,Age_old,Age_young,CO2_ppm,type,CO2_low,CO2_high,CO2_range,Distribution,reported_CO2_low,reported_CO2_high,Notes
"Quan et al., 2009",Campanian,75.4,83.6,72.1,593,mean,520,979,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",520,979,stomatal ratio
"Quan et al., 2009",Campanian,75.9,83.6,72.1,695,mean,559,3251,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",559,3251,stomatal ratio
"Quan et al., 2009",Campanian,78.1,83.6,72.1,568,mean,475,984,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",475,984,stomatal ratio
"Quan et al., 2009",Campanian,79.9,83.6,72.1,582,mean,497,1001,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",497,1001,stomatal ratio
"Quan et al., 2009",Campanian,81.5,83.6,72.1,585,mean,483,1105,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",483,1105,stomatal ratio
"Passalia, 2009",early Upper Aptian,121.0,123.0,119.0,867,mean,578,1156,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",578,1156,stomatal ratio
"Passalia, 2009",early Upper Aptian,121.0,123.0,119.0,837,mean,558,1116,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",558,1116,stomatal ratio
"Passalia, 2009",early Upper Aptian,121.0,123.0,119.0,784,mean,523,1046,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",523,1046,stomatal ratio
"Passalia, 2009",early Upper Aptian,121.0,123.0,119.0,573,mean,382,764,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",382,764,stomatal ratio
"Passalia, 2009",early Upper Aptian,121.0,123.0,119.0,1060,mean,707,1413,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",707,1413,stomatal ratio
"Passalia, 2009",early Upper Aptian,121.0,123.0,119.0,1060,mean,707,1413,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",707,1413,stomatal ratio
"Passalia, 2009",early Upper Aptian,121.0,123.0,119.0,867,mean,578,1156,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",578,1156,stomatal ratio
"Passalia, 2009",early Upper Aptian,121.0,123.0,119.0,593,mean,395,791,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",395,791,stomatal ratio
"Passalia, 2009",early Upper Aptian,121.0,123.0,119.0,908,mean,605,1211,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",605,1211,stomatal ratio
"Passalia, 2009",early Upper Aptian,121.0,123.0,119.0,782,mean,521,1043,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",521,1043,stomatal ratio
"Passalia, 2009",early Upper Aptian,121.0,123.0,119.0,734,mean,489,979,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",489,979,stomatal ratio
"Passalia, 2009",early Upper Aptian,121.0,123.0,119.0,769,mean,513,1026,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",513,1026,stomatal ratio
"Passalia, 2009",late Upper Albian,101.8,103.0,100.5,974,mean,649,1298,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",649,1298,stomatal ratio
"Passalia, 2009",late Upper Albian,101.8,103.0,100.5,852,mean,568,1136,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",568,1136,stomatal ratio
"Passalia, 2009",late Upper Albian,101.8,103.0,100.5,917,mean,612,1223,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",612,1223,stomatal ratio
"Passalia, 2009",late Upper Albian,101.8,103.0,100.5,954,mean,636,1272,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",636,1272,stomatal ratio
"Retallack, 2009a",late Zanclean,3.9,4.2,3.6,355,mean,249,586,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean),306,811,stomatal index
"Retallack, 2009a",late Serravallian,12.0,12.3,11.6,468,mean,328,773,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean),382,661,stomatal index
"Retallack, 2009a",late Priabonian,34.5,35.0,33.9,672,mean,448,896,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",448,896,stomatal ratio
"Retallack, 2009a",middle Priabonian,35.5,36.0,35.0,746,mean,497,995,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",497,995,stomatal ratio
"Retallack, 2009a",early Lutetian,46.4,47.8,45.0,908,mean,605,1210,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",605,1210,stomatal ratio
"Retallack, 2009a",late Aptian,118.0,123.0,113.0,893,mean,595,1190,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",595,1190,stomatal ratio
"Retallack, 2009a",early Aptian,124.7,126.3,123.0,1008,mean,672,1344,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",672,1344,stomatal ratio
"Retallack, 2009a",late Barremian,127.9,129.5,126.3,592,mean,395,789,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",395,789,stomatal ratio
"Retallack, 2009a",mid-Berriasian,142.0,143.0,141.0,813,mean,542,1084,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",542,1084,stomatal ratio
"Retallack, 2009a",mid-Berriasian,142.0,143.0,141.0,736,mean,491,981,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",491,981,stomatal ratio
"Retallack, 2009a",early Berriasian,143.5,145.0,142.0,972,mean,648,1296,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",648,1296,stomatal ratio
"Retallack, 2009a",mid-Tithonian,148.0,149.0,147.0,736,mean,491,981,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",491,981,stomatal ratio
"Retallack, 2009a",late Kimmeridgian,153.4,154.7,152.1,939,mean,626,1252,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",626,1252,stomatal ratio
"Retallack, 2009a",late Rhaetian,203.2,205.0,201.3,908,mean,605,1210,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",605,1210,stomatal ratio
"Retallack, 2009a",mid-Carnian,230.5,233.0,228.0,813,mean,542,1084,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",542,1084,stomatal ratio
"Retallack, 2009a",early Carnian,233.8,237.0,230.5,789,mean,526,1052,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",526,1052,stomatal ratio
"Retallack, 2009a",early Carnian,233.8,237.0,230.5,825,mean,550,1100,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",550,1100,stomatal ratio
"Yan et al., 2009",Middle Jurassic,168.8,174.1,163.5,1422,mean,948,1896,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",948,1896,stomatal ratio
"Yan et al., 2009",Middle Jurassic,168.8,174.1,163.5,1373,mean,915,1830,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",915,1830,stomatal ratio
"Yan et al., 2009",Middle Jurassic,168.8,174.1,163.5,1296,mean,864,1728,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",864,1728,stomatal ratio
"Yan et al., 2009",Middle Jurassic,168.8,174.1,163.5,1188,mean,792,1584,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",792,1584,stomatal ratio
"Yan et al., 2009",Middle Jurassic,168.8,174.1,163.5,1134,mean,756,1512,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",756,1512,stomatal ratio
"Barclay et al., 2010",OAE2; well constrained section (all during Cenomanian),94.5,,,366,mean,256,603,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean),290,472,stomatal index (mean of two species; fossil species not the same as the calibrated species)
"Barclay et al., 2010",OAE2; well constrained section (all during Cenomanian),94.4,,,381,mean,267,628,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean),316,484,stomatal index (mean of two species; fossil species not the same as the calibrated species)
"Barclay et al., 2010",OAE2; well constrained section (all during Cenomanian),94.3,,,384,mean,269,634,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean),323,490,stomatal index (mean of two species; fossil species not the same as the calibrated species)
"Barclay et al., 2010",OAE2; well constrained section (all during Cenomanian),94.3,,,410,mean,287,676,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean),345,509,stomatal index (mean of two species; fossil species not the same as the calibrated species)
"Barclay et al., 2010",OAE2; well constrained section (all during Cenomanian),94.2,,,444,mean,311,733,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean),353,572,stomatal index (mean of two species; fossil species not the same as the calibrated species)
"Barclay et al., 2010",OAE2; well constrained section (all during Cenomanian),94.1,,,457,mean,320,753,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean),357,638,stomatal index (mean of two species; fossil species not the same as the calibrated species)
"Barclay et al., 2010",OAE2; well constrained section (all during Cenomanian),94.1,,,360,mean,252,595,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean),304,480,stomatal index (mean of two species; fossil species not the same as the calibrated species)
"Barclay et al., 2010",OAE2; well constrained section (all during Cenomanian),94.1,,,446,mean,313,737,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean),350,544,stomatal index (mean of two species; fossil species not the same as the calibrated species)
"Barclay et al., 2010",OAE2; well constrained section (all during Cenomanian),94.1,,,396,mean,277,654,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean),351,501,stomatal index (mean of two species; fossil species not the same as the calibrated species)
"Barclay et al., 2010",OAE2; well constrained section (all during Cenomanian),94.1,,,448,mean,314,740,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean),361,568,stomatal index (mean of two species; fossil species not the same as the calibrated species)
"Barclay et al., 2010",OAE2; well constrained section (all during Cenomanian),94.1,,,508,mean,355,838,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean),327,906,stomatal index (mean of two species; fossil species not the same as the calibrated species)
"Barclay et al., 2010",OAE2; well constrained section (all during Cenomanian),94.0,,,485,mean,340,801,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean),337,777,stomatal index (mean of two species; fossil species not the same as the calibrated species)
"Barclay et al., 2010",OAE2; well constrained section (all during Cenomanian),94.0,,,425,mean,297,701,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean),355,550,stomatal index (mean of two species; fossil species not the same as the calibrated species)
"Barclay et al., 2010",OAE2; well constrained section (all during Cenomanian),94.0,,,466,mean,326,769,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean),355,689,stomatal index (mean of two species; fossil species not the same as the calibrated species)
"Barclay et al., 2010",OAE2; well constrained section (all during Cenomanian),94.0,,,370,mean,259,610,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean),316,478,stomatal index (mean of two species; fossil species not the same as the calibrated species)
"Barclay et al., 2010",OAE2; well constrained section (all during Cenomanian),93.9,,,431,mean,302,711,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean),353,533,stomatal index (mean of two species; fossil species not the same as the calibrated species)
"Barclay et al., 2010",OAE2; well constrained section (all during Cenomanian),93.9,,,436,mean,305,720,"16 and 84 percentiles; reported range corresponds to +/- one standard error of the regression function, and so likely underestimates true uncertainty (uncertainty in the fossil measurements are not taken into account, for example); uncertainties calculated here as +65%/-30% of the best-estimate, a conservative envelope taken from the fully propagated error analysis of Beerling et al. (2009)",right skewed (mode < mean),357,546,stomatal index (mean of two species; fossil species not the same as the calibrated species)
"Smith et al., 2010","radiometric dating (Moss et al., 2005)",50.6,50.8,50.5,600,mean,600,,only a minimum value is reported; upper bound is unbounded,right skewed (mode < mean),600,[unbounded],stomatal index
"Smith et al., 2010","radiometric dating (Moss et al., 2005)",50.6,50.8,50.4,600,mean,600,,only a minimum value is reported; upper bound is unbounded,right skewed (mode < mean),600,[unbounded],stomatal index
"Smith et al., 2010","radiometric dating (Moss et al., 2005)",50.6,50.8,50.4,600,mean,600,,only a minimum value is reported; upper bound is unbounded,right skewed (mode < mean),600,[unbounded],stomatal index
"Bonis et al., 2010",middle to late Rhaetian,203.7,206.0,201.3,2200,mean,1650,2750,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",1650,2750,stomatal ratio
"Doria et al., 2011",radiometric dating,38.4,40.9,35.9,634,median,353,,"16 and 84 percentiles, with upper bound being unbounded; uncertainty determined by Monte Carlo approach of Beerling et al. (2009)",right skewed (mode < mean),353,[unbounded],stomatal index; original ten estimates are combined here into one estimate (mean stomatal index and standard deviation is used).
"Steinthorsdottir et al., 2011",just after the T-J extinction,201.1,201.3,200.8,1320,mean,880,1760,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",880,1760,stomatal ratio; Bed 8
"Steinthorsdottir et al., 2011",just after the T-J extinction,201.1,201.3,200.8,1140,mean,760,1520,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",760,1520,stomatal ratio; Bed 7
"Steinthorsdottir et al., 2011",just after the T-J extinction,201.1,201.3,200.8,2792,mean,1861,3722,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",1861,3722,stomatal ratio; Bed 6
"Steinthorsdottir et al., 2011",during the T-J extinction,201.3,201.8,200.8,2152,mean,1435,2869,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",1435,2869,stomatal ratio; Bed 5
"Steinthorsdottir et al., 2011",just before the T-J extinction,201.6,201.8,201.3,1445,mean,964,1927,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",964,1927,stomatal ratio; Bed 4
"Steinthorsdottir et al., 2011",just before the T-J extinction,201.6,201.8,201.3,1092,mean,728,1456,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",728,1456,stomatal ratio; Bed 3
"Steinthorsdottir et al., 2011",just before the T-J extinction,201.6,201.8,201.3,1195,mean,797,1593,"not clear because the method is semi-quantitative and because the uncertainty range is calculated by ranging the conversion of stomatal ratio to RCO2 from 1:1 to 1:2 (see note #8 in companion worksheet); in the absence of further knowledge, the reported CO2 range is taken as equivalent to +/- one standard error","not clear, but likely to be right skewed (mode < mean)",797,1593,stomatal ratio; Bed 2
